pattern_kind,pattern,discovery_occurrences,discovery_documents_with,discovery_doc_prevalence,discovery_per_10k_sentences,validation_occurrences,validation_documents_with,validation_doc_prevalence,validation_per_10k_sentences,human_occurrences,human_documents_with,human_doc_prevalence,human_per_10k_sentences,hc3_ai_occurrences,hc3_ai_documents_with,hc3_ai_doc_prevalence,hc3_ai_per_10k_sentences,hc3_human_occurrences,hc3_human_documents_with,hc3_human_doc_prevalence,hc3_human_per_10k_sentences,lift_discovery_vs_human,lift_validation_vs_human,lift_hc3_ai_vs_hc3_human,elevated_in_discovery,replicated,verdict,candidate_set
ngram,recent years,23,21,0.0583,52.898,12,11,0.0306,21.771,4,4,0.0111,7.849,0,0,0.0,0.0,0,0,0.0,0.0,6.1204,2.5682,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,and other,22,18,0.05,50.598,17,16,0.0444,30.842,6,5,0.0139,11.774,30,26,0.1625,260.643,8,8,0.05,74.349,4.0569,2.4892,3.3546,True,False,FAILED_VALIDATION,exploratory
ngram,in a large,32,28,0.0778,73.597,60,52,0.1444,108.853,22,20,0.0556,43.171,0,0,0.0,0.0,1,1,0.0063,9.294,1.6929,2.486,0.3116,True,True,REPLICATED,exploratory
ngram,terms of,20,20,0.0556,45.998,19,18,0.05,34.47,7,7,0.0194,13.736,8,6,0.0375,69.505,3,2,0.0125,27.881,3.2034,2.4038,2.2705,True,False,FAILED_VALIDATION,exploratory
ngram,this paper,42,35,0.0972,96.596,57,52,0.1444,103.411,22,22,0.0611,43.171,0,0,0.0,0.0,0,0,0.0,0.0,2.2138,2.3627,0.9349,True,True,REPLICATED,exploratory
ngram,about the,36,30,0.0833,82.797,50,40,0.1111,90.711,20,19,0.0528,39.246,12,11,0.0688,104.257,2,2,0.0125,18.587,2.0867,2.2775,4.6745,True,True,REPLICATED,exploratory
ngram,the way,24,23,0.0639,55.198,35,28,0.0778,63.498,14,13,0.0361,27.473,10,8,0.05,86.881,3,3,0.0187,27.881,1.9803,2.2635,2.8047,True,False,FAILED_VALIDATION,exploratory
ngram,such as,85,70,0.1944,195.492,95,70,0.1944,172.351,39,35,0.0972,76.531,128,76,0.475,1112.076,56,36,0.225,520.446,2.5368,2.2353,2.1263,True,True,REPLICATED,exploratory
ngram,pepper to taste,26,20,0.0556,59.798,27,20,0.0556,48.984,11,7,0.0194,21.586,0,0,0.0,0.0,0,0,0.0,0.0,2.7007,2.2109,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,pepper to,31,20,0.0556,71.297,29,22,0.0611,52.612,12,8,0.0222,23.548,0,0,0.0,0.0,0,0,0.0,0.0,2.9534,2.1819,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,remove the,30,24,0.0667,68.997,21,17,0.0472,38.099,9,8,0.0222,17.661,1,1,0.0063,8.688,1,1,0.0063,9.294,3.7627,2.0924,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,in recent,28,26,0.0722,64.397,14,13,0.0361,25.399,6,6,0.0167,11.774,0,0,0.0,0.0,0,0,0.0,0.0,5.1387,2.0624,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,minutes or until,35,29,0.0806,80.497,38,31,0.0861,68.94,17,11,0.0306,33.359,0,0,0.0,0.0,0,0,0.0,0.0,2.3775,2.034,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,in addition to,28,28,0.0778,64.397,11,11,0.0306,19.956,5,5,0.0139,9.812,4,4,0.025,34.752,4,4,0.025,37.175,6.0731,1.9331,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,experimental results,18,18,0.05,41.398,11,10,0.0278,19.956,5,5,0.0139,9.812,0,0,0.0,0.0,0,0,0.0,0.0,3.9422,1.9331,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,combine the,24,21,0.0583,55.198,19,17,0.0472,34.47,9,8,0.0222,17.661,0,0,0.0,0.0,0,0,0.0,0.0,3.0225,1.8977,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,state of,30,29,0.0806,68.997,36,32,0.0889,65.312,18,18,0.05,35.322,4,2,0.0125,34.752,2,1,0.0063,18.587,1.9322,1.8241,1.6828,True,False,FAILED_VALIDATION,exploratory
ngram,of the art,24,24,0.0667,55.198,30,27,0.075,54.427,15,15,0.0417,29.435,0,0,0.0,0.0,0,0,0.0,0.0,1.8525,1.8193,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,state of the art,24,24,0.0667,55.198,30,27,0.075,54.427,15,15,0.0417,29.435,0,0,0.0,0.0,0,0,0.0,0.0,1.8525,1.8193,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,addition to,32,31,0.0861,73.597,12,12,0.0333,21.771,6,6,0.0167,11.774,6,6,0.0375,52.129,4,4,0.025,37.175,5.86,1.778,1.3504,True,False,FAILED_VALIDATION,exploratory
ngram,state of the,26,25,0.0694,59.798,31,28,0.0778,56.241,16,16,0.0444,31.397,0,0,0.0,0.0,0,0,0.0,0.0,1.8823,1.765,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,a new,26,20,0.0556,59.798,46,40,0.1111,83.454,24,23,0.0639,47.096,9,4,0.025,78.193,3,3,0.0187,27.881,1.2677,1.7547,2.5376,False,True,REPLICATED,exploratory
ngram,ability to,28,24,0.0667,64.397,21,20,0.0556,38.099,11,9,0.025,21.586,7,5,0.0312,60.817,2,2,0.0125,18.587,2.9045,1.7285,2.8047,True,False,FAILED_VALIDATION,exploratory
ngram,to taste,34,25,0.0694,78.197,30,21,0.0583,54.427,16,11,0.0306,31.397,0,0,0.0,0.0,0,0,0.0,0.0,2.4505,1.709,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,until the,60,41,0.1139,137.994,65,42,0.1167,117.925,36,26,0.0722,70.644,4,4,0.025,34.752,1,1,0.0063,9.294,1.9426,1.6591,2.8047,True,True,REPLICATED,exploratory
ngram,all purpose,19,18,0.05,43.698,20,16,0.0444,36.284,11,10,0.0278,21.586,0,0,0.0,0.0,0,0,0.0,0.0,1.9873,1.6481,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,all purpose flour,19,18,0.05,43.698,20,16,0.0444,36.284,11,10,0.0278,21.586,0,0,0.0,0.0,0,0,0.0,0.0,1.9873,1.6481,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,purpose flour,19,18,0.05,43.698,20,16,0.0444,36.284,11,10,0.0278,21.586,0,0,0.0,0.0,0,0,0.0,0.0,1.9873,1.6481,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,or until,44,34,0.0944,101.196,43,34,0.0944,78.012,24,16,0.0444,47.096,0,0,0.0,0.0,0,0,0.0,0.0,2.1287,1.6415,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,minutes or,35,29,0.0806,80.497,39,31,0.0861,70.755,23,14,0.0389,45.133,0,0,0.0,0.0,0,0,0.0,0.0,1.7705,1.554,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,the art,27,27,0.075,62.098,30,27,0.075,54.427,18,18,0.05,35.322,0,0,0.0,0.0,0,0,0.0,0.0,1.7422,1.5242,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,over medium heat,21,21,0.0583,48.298,25,25,0.0694,45.356,15,11,0.0306,29.435,0,0,0.0,0.0,0,0,0.0,0.0,1.6257,1.521,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,1 cup,50,36,0.1,114.995,59,35,0.0972,107.039,36,23,0.0639,70.644,0,0,0.0,0.0,0,0,0.0,0.0,1.6215,1.5071,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,salt and,47,24,0.0667,108.096,63,34,0.0944,114.296,39,25,0.0694,76.531,0,0,0.0,0.0,0,0,0.0,0.0,1.4094,1.4863,0.9349,False,False,NOT_ELEVATED,exploratory
ngram,according to,25,22,0.0611,57.498,32,31,0.0861,58.055,20,16,0.0444,39.246,3,3,0.0187,26.064,4,4,0.025,37.175,1.4578,1.4657,0.7271,False,False,NOT_ELEVATED,exploratory
ngram,a large,43,37,0.1028,98.896,82,68,0.1889,148.766,53,41,0.1139,104.003,3,3,0.0187,26.064,2,2,0.0125,18.587,0.9529,1.4257,1.3089,False,False,NOT_ELEVATED,exploratory
ngram,1 2 cup,83,26,0.0722,190.892,68,30,0.0833,123.367,45,28,0.0778,88.305,0,0,0.0,0.0,0,0,0.0,0.0,2.1508,1.3919,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,2 cup,83,26,0.0722,190.892,68,30,0.0833,123.367,45,28,0.0778,88.305,0,0,0.0,0.0,0,0,0.0,0.0,2.1508,1.3919,0.9349,True,False,FAILED_VALIDATION,exploratory
ngram,add the,51,24,0.0667,117.295,87,37,0.1028,157.837,58,28,0.0778,113.815,1,1,0.0063,8.688,1,1,0.0063,9.294,1.0318,1.3829,0.9349,False,False,NOT_ELEVATED,exploratory
